,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id
1558,1558,en,False,0,0,0,0,2021-12-06T04:06:37.000Z,"Official Le Nom A Besoin Dune Biere Shirt hoodie, sweater - Teeclover.html https://t.co/ytZmL1g7Hi",1467707022871523331,1157470931737927680
1101,1101,en,False,0,0,0,0,2021-12-06T12:02:32.000Z,"Dune was epic

Never new deserts could be so beautiful",1467826789976195074,807074567252414464
6827,6827,en,False,0,0,1,0,2021-12-03T19:30:59.000Z,"The film ‘Dune’, techno-Orientalism, and intergalactic Islam / IBRAHIM AL MARASHI https://t.co/v4W6soCmz2",1466852482404044806,997079973562380288
7290,7290,en,False,0,0,0,0,2021-12-03T15:07:13.000Z,i just know this is about dune. i gotta finish that book https://t.co/6CR7IZTNhW,1466786102296162309,1456282440742412302
7492,7492,en,False,0,0,2,0,2021-12-03T13:04:40.000Z,Dune was awesome! https://t.co/AFQ2AUZi29,1466755264405663745,1407311160471277573
6,6,en,False,0,1,0,0,2021-12-06T23:52:35.000Z,just watched dune again but in imax it was PHENOMENAL,1468005480148652036,115194640
3027,3027,en,False,1,0,13,0,2021-12-05T12:38:09.000Z,"a moonless, wrongly taken dune. ask your question",1467473367276003332,1234495355686965248
4391,4391,en,False,0,0,2,0,2021-12-04T21:41:30.000Z,Dune as directed by David Lynch https://t.co/1u0qV8ofMq,1467247716338180098,221868446
2293,2293,en,False,0,0,0,0,2021-12-05T20:47:56.000Z,why do I look like the dune guy 😕😕😕,1467596624876949505,1412751352145588225
5362,5362,en,False,0,0,1,0,2021-12-04T10:51:15.000Z,bout to read Dune,1467084075370311681,1433960327092178945
5793,5793,en,False,0,0,6,0,2021-12-04T05:27:08.000Z,MY DUNE https://t.co/VKCZWUcoEN,1467002510963462144,867323023346475008
1936,1936,en,False,0,0,2,0,2021-12-06T00:04:46.000Z,"Can't sleep, only logical thing is to create a list of board games to aquire, any recommendations? 
This far I've got games like Oath, Root, and Dune on the list.

Open to all sorts of suggestions!",1467646160458366977,1092157916759687169
2152,2152,en,False,0,0,1,0,2021-12-05T22:07:33.000Z,"The premise of Dune 🤔🤨 
Paul go the fuck home and sit in ur mansion 💀 slumming it w the Fremen para funsies 💀 Grimes behavior",1467616659376467969,2982049665
340,340,en,False,0,0,0,0,2021-12-06T21:03:32.000Z,i want to read dune but only so i can win debates w guys (specifically those who read dune or pretended to) that pretend to be better than me,1467962938430717952,1425474870704361476
7460,7460,en,False,0,0,1,0,2021-12-03T13:24:04.000Z,"Still think it's the better Dune movie, by far. https://t.co/7qVB57kgAz",1466760146667724803,39424477
2964,2964,en,False,0,1,18,0,2021-12-05T13:25:24.000Z,"Really enjoyed the Merthyr Mawr Pudding Run. Brutal start running up the ""big dipper"" dune but a fantastic mix of dunes, trail and a glorious section along the beach in the winter sunshine! Pleased the stream was fairly dry! https://t.co/1N4xvcf7F1",1467485255061970946,18739846
3050,3050,en,False,0,0,0,0,2021-12-05T12:09:15.000Z,I’m watching the remake of #Dune 🤬 even the english language needs subtitles. Grrr 😡,1467466092079505408,526411749
8347,8347,en,False,0,0,1,0,2021-12-03T02:59:54.000Z,Finally got my Dune poster from the theater I work at lol.,1466603069618151424,1271980702653964289
5057,5057,en,False,0,1,0,0,2021-12-04T14:47:39.000Z,"this is where i saw nick &amp; norah, twilight midnight release, harry potter 5-7 midnight releases, dune, etc. btw
https://t.co/8uU0M8fwWE",1467143567298727936,33701300
4035,4035,en,False,0,1,2,0,2021-12-05T00:36:08.000Z,dune being that big 😭😭 https://t.co/g6L8BzrAq6,1467291666776272898,764844270
2359,2359,en,False,0,1,0,0,2021-12-05T20:12:30.000Z,"Dune (2021)
#IMDb https://t.co/mGue0z72np",1467587708008734735,16271746
6952,6952,en,False,0,1,4,0,2021-12-03T18:21:30.000Z,this old dune cover is cute lol...... check out these sick screenshots of the movie bro!! it's awesome dude!! https://t.co/1XO8WDAtS4,1466834996555968516,3291896137
7825,7825,en,False,23,6,112,2,2021-12-03T09:09:06.000Z,"""It has not occurred to you that your ancestors were survivors.

And that survival itself sometimes involved savage decisions.

A kind of wonton brutality which civilized human kind works very hard to suppress...

What price will you pay for that suppression?""

 ~Dune, Book 4",1466695981244813315,2252943488
1845,1845,en,False,1,2,7,0,2021-12-06T00:58:26.000Z,"Alright, #Dune Dune was amazing. I saw it IMAX, and probably would have loved to read the story (perhaps still will!). 

I’m glad I’ve managed to (mostly) mentally block out the movie version from decades ago. Today’s version was a great reintroduction",1467659665232347139,1358312853858574336
163,163,en,False,0,0,0,0,2021-12-06T22:29:05.000Z,Dune ♥️,1467984466022965259,4869764067
1287,1287,en,False,0,0,0,0,2021-12-06T08:27:41.000Z,Dune 10/10,1467772720284934147,1426790657214013444
7514,7514,en,False,0,0,0,0,2021-12-03T12:54:56.000Z,"Ah yes, midnight, the perfect time to start watching Lynch's Dune.",1466752812914655234,24333864
1018,1018,en,False,70,101,188,2,2021-12-06T13:21:17.000Z,"Fellow #writers, help me get my Kickstarter for my latest book DUNE funded! 🙏😊 20 days to go! 

Share my pinned tweet and I’ll share yours! Give me a #follow &amp; I’ll #followback! Drop your #books links so I can #retweet a bunch! 

#writerslift #writing #writingcommunity",1467846609971007489,974511522733895681
7196,7196,en,False,0,0,0,0,2021-12-03T15:58:48.000Z,"1. Zack Snyder's Justice League
2. Dune
3. Lamb https://t.co/Ft3xrZ1mE0",1466799087492206594,126030304
608,608,en,False,0,0,3,0,2021-12-06T18:15:25.000Z,h/t #Dune Sietchposting &amp; #GameofThrones Shameposting https://t.co/ubhVCwbDWQ,1467920629156376576,1378430366650937346
7786,7786,en,False,0,0,0,0,2021-12-03T09:48:19.000Z,"TODAY: Funcom and Nukklear working on online Dune survival game — If you see a juicy leak, it may have been planted by marketing teams — Respawn pulls Titanfall from sale but will keep the servers live.

Don't miss today's issue of DailyBits - https://t.co/s515KMFemZ https://t.co/henEfJL8IT",1466705848646967297,1135225648484691974
4608,4608,en,False,0,1,2,0,2021-12-04T19:44:56.000Z,seeing dune with my dad at the mall and there's like an 80% chance the parking will have closed by the time we get out and we won't be able to leave,1467218383208955908,594701963
3821,3821,en,False,5,1,47,0,2021-12-05T02:44:23.000Z,"Dune Character: *whispering something important*

The Soundtrack: AAAAAAAAAAAaaaaaaaaAaaaAHHHHHHHHH",1467323941110771713,112080759
5354,5354,en,False,0,0,1,0,2021-12-04T10:55:07.000Z,Just back from seeing Dune at the pictures. And the thing that really struck me was bagpipes 🤷🏻 #Dune,1467085049312866304,135087147
818,818,en,False,0,0,0,0,2021-12-06T16:07:35.000Z,David Lynch’s Dune was better than the new one fight me,1467888457922101263,1462130557408759811
555,555,en,True,0,0,0,0,2021-12-06T18:51:16.000Z,Why am I obsessed with Timothée Chalamet all the sudden? He just did such a good job in Dune and he’s too cute 😭❤️ https://t.co/dKBmhPNWKt,1467929653784547330,1398791883724316672
7117,7117,en,False,0,1,6,0,2021-12-03T16:40:31.000Z,new dune part 2 character leak https://t.co/dJt96mgOCp,1466809583037464576,1209784978751528960
2282,2282,en,False,0,0,0,0,2021-12-05T20:52:50.000Z,Check out what I found. Dune Head Over Heels Ladies Sandals Size 38 https://t.co/t7Sc0HoMuX via @eBay_UK,1467597857632968715,2321234754
